top - 03:44:32 up 46 min,  1 user,  load average: 0.70, 0.55, 0.48
Tasks: 207 total,   2 running, 168 sleeping,   0 stopped,   0 zombie
%Cpu(s): 11.4 us,  2.4 sy,  0.3 ni, 85.2 id,  0.5 wa,  0.0 hi,  0.2 si,  0.0 st
KiB Mem :  2038576 total,   117220 free,  1421796 used,   499560 buff/cache
KiB Swap:   969960 total,   717768 free,   252192 used.   384036 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
  421 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop14
  426 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop15
  428 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop16
  440 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 loop17
  461 syslog    20   0  263032   1912   1912 S   0.0  0.1   0:00.07 rsyslogd
  464 root      20   0  110408   1728   1728 S   0.0  0.1   0:00.06 irqbalance
  465 root      20   0  434316   3836   3836 S   0.0  0.2   0:00.11 ModemManag+
  467 root      20   0    4548    612    612 S   0.0  0.0   0:00.20 acpid
  469 root      20   0   39712   2060   1960 S   0.0  0.1   0:00.01 cron
  471 avahi     20   0   47252   1936   1832 S   0.0  0.1   0:00.07 avahi-daem+
  478 root      20   0  108968   3060   2876 S   0.0  0.2   0:00.03 cupsd
  482 avahi     20   0   47072     36      0 S   0.0  0.0   0:00.00 avahi-daem+
  483 root      20   0   70724   3360   3092 S   0.0  0.2   0:00.19 systemd-lo+
  489 root      20   0  178916   4548   4548 S   0.0  0.2   0:00.20 networkd-d+
  490 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 iprt-VBoxW+
  497 message+  20   0   51560   4232   2644 S   0.0  0.2   0:00.82 dbus-daemon
  522 root      20   0   45224   2440   2412 S   0.0  0.1   0:00.01 wpa_suppli+
  525 lp        20   0   86408   2372   2372 S   0.0  0.1   0:00.00 dbus
  527 root      20   0  641136   6440   5212 S   0.0  0.3   0:00.28 NetworkMan+
  529 root      20   0  503400   5316   4352 S   0.0  0.3   0:00.16 udisksd
  534 root      20   0  296336   4148   4084 S   0.0  0.2   0:00.10 accounts-d+
  543 root      20   0 1163016   6880      0 S   0.0  0.3   0:02.55 snapd
  601 root      20   0  305068   7620   5088 S   0.0  0.4   0:00.23 polkitd
  606 root      20   0  303520   4520   4520 S   0.0  0.2   0:00.04 cups-brows+
  614 root      20   0  195628   5624   5624 S   0.0  0.3   0:00.15 unattended+
  636 root      20   0   25988   1848   1848 S   0.0  0.1   0:00.01 dhclient
  647 root     -51   0       0      0      0 S   0.0  0.0   0:00.55 irq/18-vmw+
  649 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ttm_swap
  699 whoopsie  20   0  462172   5884   5884 S   0.0  0.3   0:00.04 whoopsie
  702 kernoops  20   0   56936   1732   1632 S   0.0  0.1   0:00.01 kerneloops
  706 kernoops  20   0   56936   1644   1544 S   0.0  0.1   0:00.02 kerneloops
 1003 root      20   0  134220      0      0 S   0.0  0.0   0:00.00 VBoxClient
 1004 root      20   0  134220      0      0 S   0.0  0.0   0:00.00 VBoxClient
 1020 root      20   0  309800   4044   4000 S   0.0  0.2   0:00.03 gdm3
 1025 root      20   0  257488   1000    976 S   0.0  0.0   0:00.35 VBoxService
 1042 root      20   0  273456   4156   4156 S   0.0  0.2   0:00.03 gdm-sessio+
 1046 taehwan   20   0   77012   2024   1556 S   0.0  0.1   0:00.08 systemd
 1047 taehwan   20   0  113964    412      0 S   0.0  0.0   0:00.00 (sd-pam)
 1060 taehwan   20   0  289980   2384   1876 S   0.0  0.1   0:00.10 gnome-keyr+
 1064 taehwan   20   0  213588   3988   3988 S   0.0  0.2   0:00.00 gdm-x-sess+
 1073 taehwan   20   0   50880   3828   2580 S   0.0  0.2   0:00.60 dbus-daemon
 1077 taehwan   20   0  561328   6268   5576 S   0.0  0.3   0:00.22 gnome-sess+
 1175 taehwan   20   0   63364      0      0 S   0.0  0.0   0:00.00 VBoxClient
 1176 taehwan   20   0  131752   1824   1824 S   0.0  0.1   0:00.00 VBoxClient
 1185 taehwan   20   0   63364     12      0 S   0.0  0.0   0:00.00 VBoxClient
 1186 taehwan   20   0   63500   1288   1276 S   0.0  0.1   0:00.00 VBoxClient
 1193 taehwan   20   0   63364      8      0 S   0.0  0.0   0:00.00 VBoxClient
 1194 taehwan   20   0  129548    472    472 S   0.0  0.0   0:00.00 VBoxClient
 1197 taehwan   20   0   63364      4      0 S   0.0  0.0   0:00.00 VBoxClient
 1198 taehwan   20   0  130064    360    360 S   0.0  0.0   0:03.82 VBoxClient
 1213 taehwan   20   0   11300     36      0 S   0.0  0.0   0:00.01 ssh-agent
 1217 taehwan   20   0  349288   3956   3956 S   0.0  0.2   0:00.00 at-spi-bus+
 1222 taehwan   20   0   49920   2856   2644 S   0.0  0.1   0:00.13 dbus-daemon
 1225 taehwan   20   0  220776   4400   4288 S   0.0  0.2   0:00.50 at-spi2-re+
 1252 root      20   0  323868   4316   3892 S   0.0  0.2   0:00.07 upowerd
 1262 taehwan   20   0  367192   4960   4308 S   0.0  0.2   0:00.07 gvfsd
 1267 taehwan   20   0  416112   3724   3572 S   0.0  0.2   0:00.01 gvfsd-fuse
 1278 taehwan    9 -11 1435912   6860   5188 S   0.0  0.3   0:00.66 pulseaudio
 1279 rtkit     21   1  183500   2256   2256 S   0.0  0.1   0:00.03 rtkit-daem+
 1291 taehwan   20   0  437028   5248   3876 S   0.0  0.3   0:05.78 ibus-daemon
 1295 taehwan   20   0  282348   3652   3652 S   0.0  0.2   0:00.01 ibus-dconf
 1297 taehwan   20   0  346080   7196   6828 S   0.0  0.4   0:00.23 ibus-x11
 1299 taehwan   20   0  280292   3128   3068 S   0.0  0.2   0:00.09 ibus-portal
 1306 taehwan   20   0  273164   2996   2996 S   0.0  0.1   0:00.00 xdg-permis+
 1315 taehwan   20   0  689884   5164   5164 S   0.0  0.3   0:00.06 gnome-shel+
 1319 taehwan   20   0  767704   7420   6292 S   0.0  0.4   0:00.11 evolution-+
 1328 taehwan   20   0  781160   6416   6172 S   0.0  0.3   0:00.09 goa-daemon
 1338 taehwan   20   0  304976   3264   3264 S   0.0  0.2   0:00.05 goa-identi+
 1342 root      20   0  298444   3908   3908 S   0.0  0.2   0:00.04 boltd
 1346 taehwan   20   0  187904   3964   3488 S   0.0  0.2   0:00.03 dconf-serv+
 1353 taehwan   20   0  308120   3692   2832 S   0.0  0.2   0:00.14 gvfs-udisk+
 1357 taehwan   20   0  380304   3668   3396 S   0.0  0.2   0:00.01 gvfs-afc-v+
 1362 taehwan   20   0  290120   4248   3888 S   0.0  0.2   0:00.01 gvfs-gphot+
 1366 taehwan   20   0  275536   3736   3488 S   0.0  0.2   0:00.01 gvfs-goa-v+
 1370 taehwan   20   0  277332   3936   3556 S   0.0  0.2   0:00.00 gvfs-mtp-v+
 1374 root      20   0  523676  53340   6588 S   0.0  2.6   0:13.36 packagekitd
 1375 taehwan   20   0  592900   8120   7088 S   0.0  0.4   0:00.33 gsd-power
 1376 taehwan   20   0  350816   4552   4552 S   0.0  0.2   0:00.02 gsd-print-+
 1380 taehwan   20   0  424844   3592   3592 S   0.0  0.2   0:00.02 gsd-rfkill
 1382 taehwan   20   0  277232   3616   3616 S   0.0  0.2   0:00.01 gsd-screen+
 1384 taehwan   20   0  454500   3516   3516 S   0.0  0.2   0:00.03 gsd-sharing
 1388 taehwan   20   0  379600   2904   2904 S   0.0  0.1   0:00.01 gsd-smartc+
 1392 taehwan   20   0  334516   4116   4116 S   0.0  0.2   0:00.01 gsd-sound
 1403 taehwan   20   0  496604   7264   6720 S   0.0  0.4   0:00.35 gsd-xsetti+
 1406 taehwan   20   0  430596   7164   6788 S   0.0  0.4   0:00.31 gsd-wacom
 1413 taehwan   20   0  279820   3252   3252 S   0.0  0.2   0:00.01 gsd-a11y-s+
 1416 taehwan   20   0  345748   7044   6676 S   0.0  0.3   0:00.29 gsd-clipbo+
 1417 taehwan   20   0  660900   7804   7060 S   0.0  0.4   0:00.47 gsd-color
 1423 taehwan   20   0  471388   5588   5588 S   0.0  0.3   0:00.03 gsd-dateti+
 1426 taehwan   20   0  366120   3248   3180 S   0.0  0.2   0:00.07 gsd-housek+
 1427 taehwan   20   0  508580   7004   6640 S   0.0  0.3   0:00.28 gsd-keyboa+
 1432 taehwan   20   0 1015832  10152   8428 S   0.0  0.5   0:00.32 gsd-media-+
 1433 taehwan   20   0  279828   3368   3368 S   0.0  0.2   0:00.00 gsd-mouse
 1458 taehwan   20   0  510260   4872   4872 S   0.0  0.2   0:00.01 gsd-printer
 1475 colord    20   0  326464   4656   4656 S   0.0  0.2   0:00.12 colord
 1495 taehwan   20   0  271932   3532   3532 S   0.0  0.2   0:00.01 gsd-disk-u+
 1502 taehwan   20   0 1012936  48228  24512 S   0.0  2.4   0:03.20 nautilus-d+
 1543 taehwan   20   0  369904   3340   2656 S   0.0  0.2   0:00.03 gvfsd-trash
 1549 taehwan   20   0  893908   7204   6800 S   0.0  0.4   0:00.61 evolution-+
 1566 taehwan   20   0 1137588  40656   5500 S   0.0  2.0   0:00.74 evolution-+
 1568 taehwan   20   0  211524   4784   3620 S   0.0  0.2   0:01.69 ibus-engin+
 1583 taehwan   20   0  734540   8996   5560 S   0.0  0.4   0:00.05 evolution-+
 1593 taehwan   20   0 1084516   9324   5532 S   0.0  0.5   0:00.07 evolution-+
 1624 taehwan   20   0  205976   4236   3640 S   0.0  0.2   0:00.01 gvfsd-meta+
 1702 taehwan   20   0  690716  16916  10752 S   0.0  0.8   0:00.36 update-not+
 1704 taehwan   20   0 1452440 138040   9160 S   0.0  6.8   0:06.62 gnome-soft+
 1727 root      20   0  558864  13624   4260 S   0.0  0.7   0:00.34 fwupd
 1828 taehwan   20   0 1073064  11944   6208 S   0.0  0.6   0:00.05 deja-dup-m+
 1844 taehwan   20   0 3090908 214636  65216 S   0.0 10.5   0:32.41 firefox
 1898 taehwan   20   0 2820016 134492  56120 R   0.0  6.6   0:10.34 Web Content
 1945 taehwan   20   0 2645416  47208  22128 S   0.0  2.3   0:01.39 WebExtensi+
 2113 taehwan   20   0  846828  28712  14972 S   0.0  1.4   0:08.53 gnome-term+
 2123 taehwan   20   0   31244   4356   2608 S   0.0  0.2   0:00.10 bash
 2273 taehwan   20   0   31232   4380   2624 S   0.0  0.2   0:00.15 bash
 2383 taehwan   20   0 1328676  85796  40004 S   0.0  4.2   0:31.37 code
 2400 taehwan   20   0  374864  15428   9004 S   0.0  0.8   0:00.01 code
 2425 taehwan   20   0  592324  63860  34192 S   0.0  3.1   0:41.12 code
 2491 taehwan   20   0  764096  63556  31852 S   0.0  3.1   0:03.17 code
 2619 taehwan   20   0  445764   6156   5208 S   0.0  0.3   0:00.02 gvfsd-netw+
 2641 taehwan   20   0  382780   6268   5336 S   0.0  0.3   0:00.01 gvfsd-dnssd
 2652 taehwan   20   0 1146784 207792  63240 S   0.0 10.2   2:03.01 code
 2671 taehwan   20   0  665708  62300  19396 S   0.0  3.1   0:04.38 code
 2683 taehwan   20   0  585692  36648  17040 S   0.0  1.8   0:04.75 code
 2751 root      20   0       0      0      0 I   0.0  0.0   0:00.00 kworker/0:+
 2886 root      20   0       0      0      0 I   0.0  0.0   0:00.07 kworker/u4+
 2901 taehwan   20   0   30984   4636   3036 S   0.0  0.2   0:00.04 bash
 3606 root      20   0       0      0      0 I   0.0  0.0   0:00.03 kworker/u4+
 3646 taehwan   20   0 2587292  79920  61284 S   0.0  3.9   0:00.54 Web Content
 3774 root      20   0       0      0      0 I   0.0  0.0   0:00.01 kworker/u4+
 3853 taehwan   20   0    4508    752    688 S   0.0  0.0   0:00.01 server
 3857 taehwan   20   0    4624    812    744 S   0.0  0.0   0:00.00 sh
 3858 taehwan   20   0   50172   3580   3008 R   0.0  0.2   0:00.00 top
